city,lat,lng,country,iso2,admin,capital,population,population_proper
Warangal,17.978423,79.600209,India,IN,Andhra Pradesh,,1203853,865527
Allah?b?d,25.44478,81.843217,India,IN,Uttar Pradesh,,1201000,1073438
Sr?nagar,34.085652,74.805553,India,IN,Jammu and Kashmir,admin,1140000,975857
Aurang?b?d,19.880943,75.346739,India,IN,Maharashtra,,1113000,1016441
Bhilai,21.209188,81.428497,India,IN,Chhattisgarh,,1097000,1097000
Sol?pur,17.671523,75.910437,India,IN,Maharashtra,,1057000,961112
Ranchi,23.347768,85.338564,India,IN,Jharkhand,admin,1044000,846454
Jodhpur,26.26841,73.005943,India,IN,Rajasthan,,995000,921476
Guw?h?ti,26.176076,91.762932,India,IN,Assam,,983000,17516
Chandigarh,30.736292,76.788398,India,IN,Haryana,admin,979000,914371
Chandigarh,30.741482,76.768066,India,IN,Chandigarh,admin,979000,914371
Gwalior,26.229825,78.173369,India,IN,Madhya Pradesh,,978000,882458
Thiruvananthapuram,8.485498,76.949238,India,IN,Kerala,admin,954000,784153
Tiruchchir?ppalli,10.815499,78.696513,India,IN,Tamil Nadu ,,951000,775484
Hubli,15.349955,75.138619,India,IN,Karnataka,,890000,792804
Mysore,12.292664,76.638543,India,IN,Karnataka,,887000,868313
Raipur,21.233333,81.633333,India,IN,Chhattisgarh,admin,875000,679995
Salem,11.651165,78.158672,India,IN,Tamil Nadu ,,873000,778396
Bhubaneshwar,20.272411,85.833853,India,IN,Odisha,admin,844000,762243
Kota,25.182544,75.839065,India,IN,Rajasthan,,827000,763088
Jh?nsi,25.458872,78.579943,India,IN,Uttar Pradesh,,826494,412927
Bareilly,28.347023,79.421934,India,IN,Uttar Pradesh,,817000,745435
Al?garh,27.881453,78.07464,India,IN,Uttar Pradesh,,805000,753207
Bhiwandi,19.300229,73.058813,India,IN,Maharashtra,,795000,707035
Jammu,32.735686,74.869112,India,IN,Jammu and Kashmir,,791000,465567
Mor?d?b?d,28.838931,78.776838,India,IN,Uttar Pradesh,,787000,721139
Mangalore,12.865371,74.842432,India,IN,Karn?taka,,776632,417387
Kolh?pur,16.695633,74.231669,India,IN,Maharashtra,,750000,561841
Amr?vati,20.933272,77.75152,India,IN,Maharashtra,,734451,603837
Dehra D?n,30.324427,78.033922,India,IN,Uttarakhand,admin,714223,578420
M?legaon Camp,20.569974,74.515415,India,IN,Maharashtra,,690844,435362
Nellore,14.449918,79.986967,India,IN,Andhra Pradesh,,678004,404158
Gop?lpur,26.735389,83.38064,India,IN,Uttar Pradesh,,674246,674246
Shimoga,13.932424,75.572555,India,IN,Karn?taka,,654055,319550
Tirupp?r,11.104096,77.346402,India,IN,Tamil Nadu ,,650000,444543
Raurkela,22.224964,84.864143,India,IN,Odisha,,625831,483629
N?nded,19.160227,77.314971,India,IN,Maharashtra,,623708,550564
Belgaum,15.862643,74.508534,India,IN,Karn?taka,,608756,610189
S?ngli,16.856777,74.569196,India,IN,Maharashtra,,601214,601214
Ch?nda,19.950758,79.295229,India,IN,Maharashtra,,595118,328351
Ajmer,26.452103,74.638667,India,IN,Rajasthan,,589985,517911
Cuttack,20.522922,85.78813,India,IN,Odisha,,580000,580000
B?kaner,28.017623,73.314955,India,IN,Rajasthan,,576015,395908
Bh?vnagar,21.774455,72.152496,India,IN,Gujarat,,554978,464602
Hisar,29.153938,75.722944,India,IN,Haryana,,544829,301249
Bil?spur,22.080046,82.155431,India,IN,Chhattisgarh,,543454,330106
Tirunelveli,8.725181,77.684519,India,IN,Tamil Nadu ,,542200,435844
Gunt?r,16.299737,80.457293,India,IN,Andhra Pradesh,,530577,530577
Shiliguri,26.710035,88.428512,India,IN,West Bengal,,515574,515574
Ujjain,23.182387,75.776433,India,IN,Madhya Pradesh,,513350,457346
Davangere,14.469237,75.92375,India,IN,Karn?taka,,503564,435125
Akola,20.709569,76.998103,India,IN,Maharashtra,,503502,428857
Sah?ranpur,29.967896,77.545221,India,IN,Uttar Pradesh,,484873,484873
Gulbarga,17.335827,76.83757,India,IN,Karn?taka,,483615,481478
Bh?tp?ra,22.866431,88.401129,India,IN,West Bengal,,483129,483129
Dh?lia,20.901299,74.777373,India,IN,Maharashtra,,479073,366980
Udaipur,24.57951,73.690508,India,IN,Rajasthan,,469737,422784
Bellary,15.142049,76.92398,India,IN,Karn?taka,,445388,336681
Tuticorin,8.805038,78.151884,India,IN,Tamil Nadu ,,436094,436094
Kurnool,15.828865,78.036021,India,IN,Andhra Pradesh,,424920,278124
Gaya,24.796858,85.003852,India,IN,Bihar,,423692,423692
S?kar,27.614778,75.138671,India,IN,Rajasthan,,400000,237579
Tumk?r,13.341358,77.102203,India,IN,Karnataka,,399606,307359
Kollam,8.881131,76.584694,India,IN,Kerala,,394163,394163
Ahmadnagar,19.094571,74.738432,India,IN,Maharashtra,,391760,367140
Bh?lw?ra,25.347071,74.640812,India,IN,Rajasthan,,389911,326431
Niz?m?b?d,18.673151,78.10008,India,IN,Andhra Pradesh,,388505,305438
Parbhani,19.268553,76.770807,India,IN,Maharashtra,,378326,289629
Shillong,25.573987,91.896807,India,IN,Meghalaya,admin,375527,354325
L?t?r,18.399487,76.584252,India,IN,Maharashtra,,374394,348967
R?jap?laiyam,9.451111,77.556121,India,IN,Tamil Nadu ,,369991,307959
Bh?galpur,25.244462,86.971832,India,IN,Bihar,,361548,361548
Muzaffarnagar,29.470914,77.703324,India,IN,Uttar Pradesh,,349706,349706
Muzaffarpur,26.122593,85.390553,India,IN,Bihar,,333200,333200
Mathura,27.503501,77.672145,India,IN,Uttar Pradesh,,330511,330511
Pati?la,30.336245,76.392199,India,IN,Punjab,,329224,329224
Saugor,23.838766,78.738738,India,IN,Madhya Pradesh,,328240,247333
Brahmapur,19.311514,84.792903,India,IN,Odisha,,324726,324726
Sh?hb?zpur,27.874116,79.879327,India,IN,Uttar Pradesh,,320434,320434
New Delhi,28.6,77.2,India,IN,Delhi,primary,317797,317797
Rohtak,28.894473,76.589166,India,IN,Haryana,,317245,317245
Samlaip?dar,21.478072,83.990505,India,IN,Odisha,,310852,162887
Ratl?m,23.330331,75.040315,India,IN,Madhya Pradesh,,307229,236843
F?roz?b?d,27.150917,78.397808,India,IN,Uttar Pradesh,,306409,306409
R?jahmundry,17.005171,81.777839,India,IN,Andhra Pradesh,,304804,304804
Barddham?n,23.255716,87.856906,India,IN,West Bengal,,301725,301725
B?dar,17.913309,77.530105,India,IN,Karnataka,,300136,204071
Bamanpur?,28.804495,79.040305,India,IN,Uttar Pradesh,,296418,296418
K?kin?da,16.960361,82.238086,India,IN,Andhra Pradesh,,292923,292923
P?n?pat,29.387471,76.968246,India,IN,Haryana,,292808,292808
Khammam,17.247672,80.143682,India,IN,Andhra Pradesh,,290839,170503
Bhuj,23.253972,69.669281,India,IN,Gujarat,,289429,289429
Kar?mnagar,18.436738,79.13222,India,IN,Andhra Pradesh,,288251,228745
Tirupati,13.635505,79.419888,India,IN,Andhra Pradesh,,287035,250821
Hospet,15.269537,76.387103,India,IN,Karnataka,,286007,197846
Chikka Mandya,12.545602,76.895078,India,IN,Karnataka,,285034,134845
Alwar,27.566291,76.610202,India,IN,Rajasthan,,283228,283228
Aizawl,23.736701,92.714596,India,IN,Mizoram,admin,283021,265331
Bij?pur,16.827715,75.718988,India,IN,Karnataka,,271064,270870
Imphal,24.808053,93.944203,India,IN,Manipur,admin,264986,223523
Tharati Etawah,26.758236,79.014875,India,IN,Uttar Pradesh,,257448,257448
R?ich?r,16.205459,77.35567,India,IN,Karnataka,,255240,225962
Path?nkot,32.274842,75.652865,India,IN,Punjab,,253987,174306
Ch?r?la,15.823849,80.352187,India,IN,Andhra Pradesh,,253000,87001
Son?pat,28.994778,77.019375,India,IN,Haryana,,250521,250521
Mirz?pur,25.144902,82.565335,India,IN,Uttar Pradesh,,245817,233691
H?pur,28.729845,77.780681,India,IN,Uttar Pradesh,,242920,242920
Porbandar,21.641346,69.600868,India,IN,Gujarat,,234684,138872
Bharatpur,27.215251,77.492786,India,IN,Rajasthan,,229384,229384
Puducherry,11.933812,79.829792,India,IN,Puducherry,admin,227411,227411
Karn?l,29.691971,76.984483,India,IN,Haryana,,225049,225049
N?gercoil,8.177313,77.43437,India,IN,Tamil Nadu ,,224329,213858
Thanj?v?r,10.785233,79.139093,India,IN,Tamil Nadu ,,219571,219571
P?li,25.775125,73.320611,India,IN,Rajasthan,,210103,207394
Agartala,23.836049,91.279386,India,IN,Tripura,admin,203264,203264
Ongole,15.503565,80.044541,India,IN,Andhra Pradesh,,202860,172872
Puri,19.798254,85.824938,India,IN,Odisha,,201026,201026
Dindigul,10.362853,77.975827,India,IN,Tamil Nadu ,,200797,200797
Haldia,22.025278,88.058333,India,IN,West Bengal,,200762,200762
Bulandshahr,28.403922,77.857731,India,IN,Uttar Pradesh,,198612,198612
Purnea,25.776703,87.473655,India,IN,Bihar,,198453,198453
Proddat?r,14.7502,78.548129,India,IN,Andhra Pradesh,,197451,177797
Gurgaon,28.460105,77.026352,India,IN,Haryana,,197340,197340
Kh?n?pur,21.273716,76.117376,India,IN,Maharashtra,,197233,197233
Machil?patnam,16.187466,81.13888,India,IN,Andhra Pradesh,,192827,192827
Bhiw?ni,28.793044,76.13968,India,IN,Haryana,,190855,190855
Nandy?l,15.477994,78.483605,India,IN,Andhra Pradesh,,188654,165337
Bhus?val,21.043649,75.785058,India,IN,Maharashtra,,183001,172366
Bharauri,27.598203,81.694709,India,IN,Uttar Pradesh,,182218,182218
Tonk,26.168672,75.786111,India,IN,Rajasthan,,181734,151331
Sirsa,29.534893,75.028981,India,IN,Haryana,,181639,160129
Vizianagaram,18.11329,83.397743,India,IN,Andhra Pradesh,,179358,1194
Vellore,12.905769,79.137104,India,IN,Tamil Nadu ,,177081,177081
Alappuzha,9.494647,76.331108,India,IN,Kerala,,176783,176783
Shimla,31.104423,77.166623,India,IN,Himachal Pradesh,admin,173503,173503
Hindupur,13.828065,77.491425,India,IN,Andhra Pradesh,,168312,133298
B?ram?la,34.209004,74.342853,India,IN,Jammu and Kashmir,,167986,77276
Bakshpur,25.894283,80.792104,India,IN,Uttar Pradesh,,166480,166480
Dibrugarh,27.479888,94.90837,India,IN,Assam,,166366,122155
Said?pur,27.598784,80.75089,India,IN,Uttar Pradesh,,164435,164435
Navs?ri,20.85,72.916667,India,IN,Gujarat,,163000,163000
Budaun,28.038114,79.126677,India,IN,Uttar Pradesh,,161555,161555
Cuddalore,11.746289,79.764362,India,IN,Tamil Nadu ,,158569,158569
Har?pur,31.463218,75.986418,India,IN,Punjab,,158142,158142
Krishn?puram,12.869617,79.719469,India,IN,Tamil Nadu ,,155029,155029
Fyz?b?d,26.775486,82.150182,India,IN,Uttar Pradesh,,153047,153047
Silchar,24.827327,92.797868,India,IN,Assam,,152393,152393
Amb?la,30.360993,76.797819,India,IN,Haryana,,146787,146787
Krishnanagar,23.405761,88.490733,India,IN,West Bengal,,145926,145926
Kol?r,13.137679,78.129989,India,IN,Karnataka,,144625,126441
Kumbakonam,10.959789,79.377472,India,IN,Tamil Nadu ,,139264,139264
Tiruvann?malai,12.230204,79.072954,India,IN,Tamil Nadu ,,138243,138243
P?libh?t,28.631245,79.804362,India,IN,Uttar Pradesh,,131008,131008
Abohar,30.144533,74.19552,India,IN,Punjab,,130603,130603
Port Blair,11.666667,92.75,India,IN,Andaman and Nicobar Islands,admin,127562,112050
Al?pur Du?r,26.4835,89.522855,India,IN,West Bengal,,127342,127342
Hat?sa,27.592698,78.013843,India,IN,Uttar Pradesh,,126882,126882
V?lp?rai,10.325163,76.955299,India,IN,Tamil Nadu ,,114308,90353
Aurang?b?d,24.752037,84.374202,India,IN,Bihar,,95929,95929
Kohima,25.674673,94.110988,India,IN,Nagaland,admin,92113,92113
Gangtok,27.325739,88.612155,India,IN,Sikkim,admin,77900,30700
Kar?r,10.960277,78.076753,India,IN,Tamil Nadu ,,76915,76915
Jorh?t,26.757509,94.203055,India,IN,Assam,,69033,69033
Panaji,15.498289,73.824541,India,IN,Goa,admin,65586,65586
Saidpur,34.318174,74.457093,India,IN,Jammu and Kashmir,,63035,58416
Tezpur,26.633333,92.8,India,IN,Assam,,58851,58851
Itanagar,27.102349,93.692047,India,IN,Arunachal Pradesh,admin,44971,44971
Daman,20.414315,72.83236,India,IN,Daman and Diu,admin,39737,39737
Silvassa,20.273855,72.996728,India,IN,Dadra and Nagar Haveli,admin,27359,27359
Diu,20.715115,70.987952,India,IN,Dam?n and Diu,,23779,23779
Dispur,26.135638,91.800688,India,IN,Assam,admin,16140,16140
Kavaratti,10.566667,72.616667,India,IN,Lakshadweep,admin,10688,10688
Calicut,11.248016,75.780402,India,IN,Kerala,minor,,
Kagazn?g?r,19.331589,79.466051,India,IN,Andhra Pradesh,minor,,
Jaipur,26.913312,75.787872,India,IN,Rajasthan,admin,,
Ghandinagar,23.216667,72.683333,India,IN,Gujarat,admin,,
Panchkula,30.691512,76.853736,India,IN,Haryana,minor,,
